Instance,GomoryPasses,MIRCuts,FlowCoverCuts,CliqueCuts,Runtime_sec,NodeCount
gen-ip054.mps,1,0,1,1,120.02807974815369,5444185.0
gen-ip054.mps,1,1,-1,-1,120.037930727005,5535475.0
gen-ip054.mps,1,1,-1,0,120.03958177566528,4430606.0
gen-ip054.mps,1,1,-1,1,120.02173471450806,4679067.0
gen-ip054.mps,1,1,0,-1,120.02094531059265,5293732.0
gen-ip054.mps,1,1,0,0,120.025874376297,4280707.0
gen-ip054.mps,1,1,0,1,120.02743577957153,5357947.0
gen-ip054.mps,1,1,1,-1,120.02037310600281,5165547.0
gen-ip054.mps,1,1,1,0,120.03730487823486,5143310.0
gen-ip054.mps,1,1,1,1,120.01961708068848,5221451.0
markshare_4_0.mps,-1,-1,-1,-1,1.1893444061279297,8049.0
markshare_4_0.mps,-1,-1,-1,0,1.212723731994629,8049.0
markshare_4_0.mps,-1,-1,-1,1,1.1630489826202393,8049.0
markshare_4_0.mps,-1,-1,0,-1,0.8070361614227295,8049.0
markshare_4_0.mps,-1,-1,0,0,0.7498714923858643,8049.0
markshare_4_0.mps,-1,-1,0,1,0.7609915733337402,8049.0
markshare_4_0.mps,-1,-1,1,-1,0.7498013973236084,8049.0
markshare_4_0.mps,-1,-1,1,0,0.7648813724517822,8049.0
markshare_4_0.mps,-1,-1,1,1,0.962134838104248,8049.0
markshare_4_0.mps,-1,0,-1,-1,0.6172173023223877,5344.0
markshare_4_0.mps,-1,0,-1,0,0.5884840488433838,5344.0
markshare_4_0.mps,-1,0,-1,1,0.57615065574646,5344.0
markshare_4_0.mps,-1,0,0,-1,0.601984977722168,5344.0
markshare_4_0.mps,-1,0,0,0,0.5956666469573975,5344.0
markshare_4_0.mps,-1,0,0,1,0.7522091865539551,5344.0
markshare_4_0.mps,-1,0,1,-1,0.7382121086120605,5344.0
markshare_4_0.mps,-1,0,1,0,0.6124598979949951,5344.0
markshare_4_0.mps,-1,0,1,1,0.5858209133148193,5344.0
markshare_4_0.mps,-1,1,-1,-1,0.7695391178131104,8049.0
markshare_4_0.mps,-1,1,-1,0,0.7711577415466309,8049.0
markshare_4_0.mps,-1,1,-1,1,0.7612152099609375,8049.0
markshare_4_0.mps,-1,1,0,-1,0.9205117225646973,8049.0
markshare_4_0.mps,-1,1,0,0,0.7729003429412842,8049.0
markshare_4_0.mps,-1,1,0,1,0.7614636421203613,8049.0
markshare_4_0.mps,-1,1,1,-1,0.8325366973876953,8049.0
markshare_4_0.mps,-1,1,1,0,0.7735607624053955,8049.0
markshare_4_0.mps,-1,1,1,1,0.8489136695861816,8049.0
markshare_4_0.mps,0,-1,-1,-1,0.4283130168914795,5085.0
markshare_4_0.mps,0,-1,-1,0,0.429107666015625,5085.0
